MP,District,Party
Nina Taylor,Albert Park,Labor
Matt Fregon,Ashwood,Labor
Jordan Crugnale,Bass,Labor
Jackson Taylor,Bayswater,Labor
Alison Marchant,Bellarine,Labor
Bill Tilley,Benambra,Liberal
Jacinta Allan,Bendigo East,Labor
Maree Edwards,Bendigo West,Labor
Nick Staikos,Bentleigh,Labor
Brad Battin,Berwick,Liberal
Paul Hamer,Box Hill,Labor
James Newbury,Brighton,Liberal
Kathleen Matthews-Ward,Broadmeadows,Labor
Tim Read,Brunswick,Greens
Matthew Guy,Bulleen,Liberal
Colin Brooks,Bundoora,Labor
Sonya Kilkenny,Carrum,Labor
David Southwick,Caulfield,Liberal
Meng Heang Tak,Clarinda,Labor
Pauline Richards,Cranbourne,Labor
David Hodgett,Croydon,Liberal
Gabrielle Williams,Dandenong,Labor
Cindy McLeish,Eildon,Liberal
Vicki Ward,Eltham,Labor
Danny Pearson,Essendon,Labor
Michaela Settle,Eureka,Labor
Annabelle Cleeland,Euroa,Nationals
Bridget Vallence,Evelyn,Liberal
Katie Hall,Footscray,Labor
Paul Edbrooke,Frankston,Labor
Christine Couzens,Geelong,Labor
Tim Bull,Gippsland East,Nationals
Danny O'Brien,Gippsland South,Nationals
John Mullahy,Glen Waverley,Labor
Iwan Walters,Greenvale,Labor
Paul Mercurio,Hastings,Labor
John Pesutto,Hawthorn,Liberal
Anthony Carbines,Ivanhoe,Labor
Ros Spence,Kalkallo,Labor
Jess Wilson,Kew,Liberal
Luba Grigorovitch,Kororoit,Labor
Ella George,Lara,Labor
Sarah Connolly,Laverton,Labor
Emma Kealy,Lowan,Nationals
Mary-Anne Thomas,Macedon,Labor
Michael O'Brien,Malvern,Liberal
Ellen Sandell,Melbourne,Greens
Steve McGhie,Melton,Labor
Jade Benham,Mildura,Nationals
Lily D'Ambrosio,Mill Park,Labor
Daniela De Martino,Monbulk,Labor
Tim Richardson,Mordialloc,Labor
Chris Crewther,Mornington,Liberal
Martin Cameron,Morwell,Nationals
Eden Foster,Mulgrave,Labor
Peter Walsh,Murray Plains,Nationals
Wayne Farnham,Narracan,Liberal
Belinda Wilson,Narre Warren North,Labor
Gary Maas,Narre Warren South,Labor
Sam Groth,Nepean,Liberal
Ben Carroll,Niddrie,Labor
Kat Theophanous,Northcote,Labor
Steve Dimopoulos,Oakleigh,Labor
Tim McCurdy,Ovens Valley,Nationals
Emma Vulin,Pakenham,Labor
Anthony Cianflone,Pascoe Vale,Labor
Mathew Hilakari,Point Cook,Labor
Richard Riordan,Polwarth,Liberal
Rachel Westaway,Prahran,Liberal
Nathan Lambert,Preston,Labor
Gabrielle de Vietri,Richmond,Greens
Will Fowles,Ringwood,Independent
Martha Haylett,Ripon,Labor
Kim Wells,Rowville,Liberal
Brad Rowswell,Sandringham,Liberal
Kim O'Keeffe,Shepparton,Nationals
Darren Cheeseman,South Barwon,Independent Labor
Roma Britnell,South-West Coast,Liberal
Natalie Suleyman,St Albans,Labor
Josh Bull,Sunbury,Labor
Natalie Hutchins,Sydenham,Labor
Dylan Wight,Tarneit,Labor
Bronwyn Halfpenny,Thomastown,Labor
Nicole Werner,Warrandyte,Liberal
Juliana Addison,Wendouree,Labor
John Lister,Werribee,Labor
Melissa Horne,Williamstown,Labor
Lauren Kathage,Yan Yean,Labor
